,ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
0,1,"<a href=""/en/players/774cf58b/Max-Aarons""Max Aarons","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats""Bournemouth",24-058,2000,14,12,"1,085",12.1,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.8,19,40,22,0.00,0.08,0.08,0.00,0.08,0.00,0.07,0.07,0.00,0.07,"<a href=""/en/players/774cf58b/matchlogs/2023-2024/summary/Max-Aarons-Match-Logs""Matches"
1,2,"<a href=""/en/players/77816c91/Benie-Adama-Traore""Bénie Adama Traore","<a href=""/en/country/CIV/Cote-dIvoire-Football""<span style=""white-space: nowrap""<span class=""f-i f-ci"" style=""""ci","FW,MF","<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",21-093,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,"<a href=""/en/players/77816c91/matchlogs/2023-2024/summary/Benie-Adama-Traore-Match-Logs""Matches"
2,3,"<a href=""/en/players/c81d773d/Tosin-Adarabioyo""Tosin Adarabioyo","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/fd962109/Fulham-Stats""Fulham",26-160,1997,12,10,903,10.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,4,31,2,0.10,0.00,0.10,0.10,0.10,0.03,0.01,0.04,0.03,0.04,"<a href=""/en/players/c81d773d/matchlogs/2023-2024/summary/Tosin-Adarabioyo-Match-Logs""Matches"
3,4,"<a href=""/en/players/0480ebc7/Elijah-Adebayo""Elijah Adebayo","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",FW,"<a href=""/en/squads/e297cd13/Luton-Town-Stats""Luton Town",26-055,1998,23,13,"1,162",12.9,9,0,9,9,0,0,1,0,5.6,5.6,0.7,6.3,14,19,85,0.70,0.00,0.70,0.70,0.70,0.43,0.05,0.49,0.43,0.49,"<a href=""/en/players/0480ebc7/matchlogs/2023-2024/summary/Elijah-Adebayo-Match-Logs""Matches"
4,5,"<a href=""/en/players/4dcec659/Simon-Adingra""Simon Adingra","<a href=""/en/country/CIV/Cote-dIvoire-Football""<span style=""white-space: nowrap""<span class=""f-i f-ci"" style=""""ci",FW,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",22-061,2002,19,15,"1,322",14.7,6,1,7,6,0,0,2,0,3.0,3.0,2.1,5.2,65,26,176,0.41,0.07,0.48,0.41,0.48,0.21,0.14,0.35,0.21,0.35,"<a href=""/en/players/4dcec659/matchlogs/2023-2024/summary/Simon-Adingra-Match-Logs""Matches"
5,6,"<a href=""/en/players/288e1e13/Nayef-Aguerd""Nayef Aguerd","<a href=""/en/country/MAR/Morocco-Football""<span style=""white-space: nowrap""<span class=""f-i f-ma"" style=""""ma",DF,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats""West Ham",27-338,1996,19,19,"1,686",18.7,1,0,1,1,0,0,3,1,1.5,1.5,0.2,1.8,9,61,3,0.05,0.00,0.05,0.05,0.05,0.08,0.01,0.09,0.08,0.09,"<a href=""/en/players/288e1e13/matchlogs/2023-2024/summary/Nayef-Aguerd-Match-Logs""Matches"
6,7,"<a href=""/en/players/938fa024/Brandon-Aguilera""Brandon Aguilera","<a href=""/en/country/CRC/Costa-Rica-Football""<span style=""white-space: nowrap""<span class=""f-i f-cr"" style=""""cr",FW,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",20-248,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/938fa024/matchlogs/2023-2024/summary/Brandon-Aguilera-Match-Logs""Matches"
7,8,"<a href=""/en/players/a6c58494/Naouirou-Ahamada""Naouirou Ahamada","<a href=""/en/country/FRA/France-Football""<span style=""white-space: nowrap""<span class=""f-i f-fr"" style=""""fr","MF,FW","<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",21-339,2002,15,0,214,2.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,14,11,15,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,"<a href=""/en/players/a6c58494/matchlogs/2023-2024/summary/Naouirou-Ahamada-Match-Logs""Matches"
8,9,"<a href=""/en/players/eab957a3/Anel-Ahmedhodzic""Anel Ahmedhodžić","<a href=""/en/country/BIH/Bosnia-and-Herzegovina-Football""<span style=""white-space: nowrap""<span class=""f-i f-ba"" style=""""ba",DF,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",24-342,1999,20,19,"1,755",19.5,1,0,1,1,0,0,8,0,2.5,2.5,0.0,2.6,8,27,17,0.05,0.00,0.05,0.05,0.05,0.13,0.00,0.13,0.13,0.13,"<a href=""/en/players/eab957a3/matchlogs/2023-2024/summary/Anel-Ahmedhodzic-Match-Logs""Matches"
9,10,"<a href=""/en/players/246d153b/Ola-Aina""Ola Aina","<a href=""/en/country/NGA/Nigeria-Football""<span style=""white-space: nowrap""<span class=""f-i f-ng"" style=""""ng",DF,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",27-146,1996,14,12,989,11.0,1,1,2,1,0,0,3,0,0.2,0.2,0.5,0.7,29,30,22,0.09,0.09,0.18,0.09,0.18,0.01,0.05,0.06,0.01,0.06,"<a href=""/en/players/246d153b/matchlogs/2023-2024/summary/Ola-Aina-Match-Logs""Matches"
10,11,"<a href=""/en/players/9b398aea/Rayan-Ait-Nouri""Rayan Aït Nouri","<a href=""/en/country/ALG/Algeria-Football""<span style=""white-space: nowrap""<span class=""f-i f-dz"" style=""""dz","DF,MF","<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats""Wolves",22-270,2001,22,19,"1,525",16.9,0,1,1,0,0,0,5,0,1.6,1.6,1.5,3.1,44,76,69,0.00,0.06,0.06,0.00,0.06,0.10,0.09,0.18,0.10,0.18,"<a href=""/en/players/9b398aea/matchlogs/2023-2024/summary/Rayan-Ait-Nouri-Match-Logs""Matches"
11,12,"<a href=""/en/players/a8c0acb7/Kristoffer-Ajer""Kristoffer Ajer","<a href=""/en/country/NOR/Norway-Football""<span style=""white-space: nowrap""<span class=""f-i f-no"" style=""""no",DF,"<a href=""/en/squads/cd051869/Brentford-Stats""Brentford",25-320,1998,18,11,"1,028",11.4,0,1,1,0,0,0,4,0,0.7,0.7,1.8,2.4,16,37,25,0.00,0.09,0.09,0.00,0.09,0.06,0.15,0.21,0.06,0.21,"<a href=""/en/players/a8c0acb7/matchlogs/2023-2024/summary/Kristoffer-Ajer-Match-Logs""Matches"
12,13,"<a href=""/en/players/89ac64a6/Manuel-Akanji""Manuel Akanji","<a href=""/en/country/SUI/Switzerland-Football""<span style=""white-space: nowrap""<span class=""f-i f-ch"" style=""""ch","DF,MF","<a href=""/en/squads/b8fd03ef/Manchester-City-Stats""Manchester City",28-227,1995,19,18,"1,586",17.6,2,0,2,2,0,0,4,1,0.9,0.9,0.2,1.1,34,93,21,0.11,0.00,0.11,0.11,0.11,0.05,0.01,0.06,0.05,0.06,"<a href=""/en/players/89ac64a6/matchlogs/2023-2024/summary/Manuel-Akanji-Match-Logs""Matches"
13,14,"<a href=""/en/players/eaeca114/Nathan-Ake""Nathan Aké","<a href=""/en/country/NED/Netherlands-Football""<span style=""white-space: nowrap""<span class=""f-i f-nl"" style=""""nl",DF,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats""Manchester City",29-013,1995,21,17,"1,547",17.2,2,2,4,2,0,0,0,0,1.6,1.6,1.2,2.9,22,89,13,0.12,0.12,0.23,0.12,0.23,0.10,0.07,0.17,0.10,0.17,"<a href=""/en/players/eaeca114/matchlogs/2023-2024/summary/Nathan-Ake-Match-Logs""Matches"
14,15,"<a href=""/en/players/77e84962/Thiago-Alcantara""Thiago Alcántara","<a href=""/en/country/ESP/Spain-Football""<span style=""white-space: nowrap""<span class=""f-i f-es"" style=""""es",MF,"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",32-326,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/77e84962/matchlogs/2023-2024/summary/Thiago-Alcantara-Match-Logs""Matches"
15,16,"<a href=""/en/players/cd1acf9d/Trent-Alexander-Arnold""Trent Alexander-Arnold","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",25-147,1998,21,19,"1,622",18.0,2,4,6,2,0,0,5,0,1.8,1.5,5.5,7.0,31,153,65,0.11,0.22,0.33,0.11,0.33,0.10,0.30,0.40,0.08,0.39,"<a href=""/en/players/cd1acf9d/matchlogs/2023-2024/summary/Trent-Alexander-Arnold-Match-Logs""Matches"
16,17,"<a href=""/en/players/7a2e46a8/Alisson""Alisson","<a href=""/en/country/BRA/Brazil-Football""<span style=""white-space: nowrap""<span class=""f-i f-br"" style=""""br",GK,"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",31-152,1992,21,21,"1,890",21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/7a2e46a8/matchlogs/2023-2024/summary/Alisson-Match-Logs""Matches"
17,18,"<a href=""/en/players/862a1c15/Miguel-Almiron""Miguel Almirón","<a href=""/en/country/PAR/Paraguay-Football""<span style=""white-space: nowrap""<span class=""f-i f-py"" style=""""py",FW,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",30-021,1994,26,22,"1,749",19.4,3,1,4,3,0,0,1,0,4.3,4.3,2.0,6.3,72,72,148,0.15,0.05,0.21,0.15,0.21,0.22,0.10,0.32,0.22,0.32,"<a href=""/en/players/862a1c15/matchlogs/2023-2024/summary/Miguel-Almiron-Match-Logs""Matches"
18,19,"<a href=""/en/players/8b3ab7ad/Edson-Alvarez""Edson Álvarez","<a href=""/en/country/MEX/Mexico-Football""<span style=""white-space: nowrap""<span class=""f-i f-mx"" style=""""mx",MF,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats""West Ham",26-130,1997,22,21,"1,743",19.4,0,1,1,0,0,0,9,0,0.6,0.6,0.4,1.0,14,61,20,0.00,0.05,0.05,0.00,0.05,0.03,0.02,0.05,0.03,0.05,"<a href=""/en/players/8b3ab7ad/matchlogs/2023-2024/summary/Edson-Alvarez-Match-Logs""Matches"
19,20,"<a href=""/en/players/15ab5a2b/Julian-Alvarez""Julián Álvarez","<a href=""/en/country/ARG/Argentina-Football""<span style=""white-space: nowrap""<span class=""f-i f-ar"" style=""""ar","MF,FW","<a href=""/en/squads/b8fd03ef/Manchester-City-Stats""Manchester City",24-031,2000,26,25,"2,097",23.3,8,6,14,7,1,1,2,0,8.9,8.2,6.1,14.3,45,80,131,0.34,0.26,0.60,0.30,0.56,0.38,0.26,0.64,0.35,0.61,"<a href=""/en/players/15ab5a2b/matchlogs/2023-2024/summary/Julian-Alvarez-Match-Logs""Matches"
20,21,"<a href=""/en/players/2ee5b0c9/Zeki-Amdouni""Zeki Amdouni","<a href=""/en/country/SUI/Switzerland-Football""<span style=""white-space: nowrap""<span class=""f-i f-ch"" style=""""ch",FW,"<a href=""/en/squads/943e8050/Burnley-Stats""Burnley",23-089,2000,25,25,"1,736",19.3,4,1,5,4,0,0,1,0,4.2,4.2,1.4,5.6,55,44,80,0.21,0.05,0.26,0.21,0.26,0.22,0.07,0.29,0.22,0.29,"<a href=""/en/players/2ee5b0c9/matchlogs/2023-2024/summary/Zeki-Amdouni-Match-Logs""Matches"
21,22,"<a href=""/en/players/5a2cb25d/Sofyan-Amrabat""Sofyan Amrabat","<a href=""/en/country/MAR/Morocco-Football""<span style=""white-space: nowrap""<span class=""f-i f-ma"" style=""""ma","MF,DF","<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",27-194,1996,12,7,619,6.9,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.2,5,50,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,"<a href=""/en/players/5a2cb25d/matchlogs/2023-2024/summary/Sofyan-Amrabat-Match-Logs""Matches"
22,23,"<a href=""/en/players/e34fc66d/Joachim-Andersen""Joachim Andersen","<a href=""/en/country/DEN/Denmark-Football""<span style=""white-space: nowrap""<span class=""f-i f-dk"" style=""""dk",DF,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",27-276,1996,26,26,"2,339",26.0,2,2,4,2,0,0,4,0,1.2,1.2,1.5,2.7,19,115,8,0.08,0.08,0.15,0.08,0.15,0.05,0.06,0.10,0.05,0.10,"<a href=""/en/players/e34fc66d/matchlogs/2023-2024/summary/Joachim-Andersen-Match-Logs""Matches"
23,24,"<a href=""/en/players/de31038e/Elliot-Anderson""Elliot Anderson","<a href=""/en/country/SCO/Scotland-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-sct"" style=""""sct","MF,FW","<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",21-117,2002,9,4,411,4.6,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,14,26,33,0.00,0.22,0.22,0.00,0.22,0.16,0.19,0.35,0.16,0.35,"<a href=""/en/players/de31038e/matchlogs/2023-2024/summary/Elliot-Anderson-Match-Logs""Matches"
24,25,"<a href=""/en/players/e4238fb1/Jaidon-Anthony""Jaidon Anthony","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",FW,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats""Bournemouth",24-092,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,"<a href=""/en/players/e4238fb1/matchlogs/2023-2024/summary/Jaidon-Anthony-Match-Logs""Matches"
25,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,26,"<a href=""/en/players/ac05f970/Michail-Antonio""Michail Antonio","<a href=""/en/country/JAM/Jamaica-Football""<span style=""white-space: nowrap""<span class=""f-i f-jm"" style=""""jm",FW,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats""West Ham",33-340,1990,14,12,903,10.0,2,2,4,2,0,0,3,0,1.9,1.9,0.7,2.6,26,10,52,0.20,0.20,0.40,0.20,0.40,0.19,0.07,0.26,0.19,0.26,"<a href=""/en/players/ac05f970/matchlogs/2023-2024/summary/Michail-Antonio-Match-Logs""Matches"
27,27,"<a href=""/en/players/99127249/Antony""Antony","<a href=""/en/country/BRA/Brazil-Football""<span style=""white-space: nowrap""<span class=""f-i f-br"" style=""""br",FW,"<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",24-007,2000,20,11,929,10.3,0,0,0,0,0,0,3,0,1.5,1.5,2.1,3.6,36,49,113,0.00,0.00,0.00,0.00,0.00,0.14,0.21,0.35,0.14,0.35,"<a href=""/en/players/99127249/matchlogs/2023-2024/summary/Antony-Match-Logs""Matches"
28,28,"<a href=""/en/players/05e8ca6d/Cameron-Archer""Cameron Archer","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng","FW,MF","<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",22-225,2001,21,16,"1,449",16.1,4,0,4,4,0,0,1,0,3.9,3.9,1.7,5.6,27,12,81,0.25,0.00,0.25,0.25,0.25,0.24,0.10,0.35,0.24,0.35,"<a href=""/en/players/05e8ca6d/matchlogs/2023-2024/summary/Cameron-Archer-Match-Logs""Matches"
29,29,"<a href=""/en/players/05e8ca6d/Cameron-Archer""Cameron Archer","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",MF,"<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",22-225,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/05e8ca6d/matchlogs/2023-2024/summary/Cameron-Archer-Match-Logs""Matches"
30,30,"<a href=""/en/players/2f965a72/Alphonse-Areola""Alphonse Areola","<a href=""/en/country/FRA/France-Football""<span style=""white-space: nowrap""<span class=""f-i f-fr"" style=""""fr",GK,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats""West Ham",31-004,1993,23,23,"2,024",22.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/2f965a72/matchlogs/2023-2024/summary/Alphonse-Areola-Match-Logs""Matches"
31,31,"<a href=""/en/players/b026bbf6/Lorenz-Assignon""Lorenz Assignon","<a href=""/en/country/TOG/Togo-Football""<span style=""white-space: nowrap""<span class=""f-i f-tg"" style=""""tg",DF,"<a href=""/en/squads/943e8050/Burnley-Stats""Burnley",23-254,2000,4,4,347,3.9,0,1,1,0,0,0,1,0,0.0,0.0,0.9,1.0,5,3,9,0.00,0.26,0.26,0.00,0.26,0.01,0.24,0.25,0.01,0.25,"<a href=""/en/players/b026bbf6/matchlogs/2023-2024/summary/Lorenz-Assignon-Match-Logs""Matches"
32,32,"<a href=""/en/players/5c2b4f07/Serge-Aurier""Serge Aurier","<a href=""/en/country/CIV/Cote-dIvoire-Football""<span style=""white-space: nowrap""<span class=""f-i f-ci"" style=""""ci","DF,MF","<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",31-069,1992,12,10,833,9.3,0,2,2,0,0,0,2,0,0.2,0.2,0.5,0.6,10,47,29,0.00,0.22,0.22,0.00,0.22,0.02,0.05,0.07,0.02,0.07,"<a href=""/en/players/5c2b4f07/matchlogs/2023-2024/summary/Serge-Aurier-Match-Logs""Matches"
33,33,"<a href=""/en/players/e5478b87/Taiwo-Awoniyi""Taiwo Awoniyi","<a href=""/en/country/NGA/Nigeria-Football""<span style=""white-space: nowrap""<span class=""f-i f-ng"" style=""""ng",FW,"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",26-203,1997,15,12,979,10.9,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,8,13,41,0.55,0.28,0.83,0.55,0.83,0.43,0.16,0.59,0.43,0.59,"<a href=""/en/players/e5478b87/matchlogs/2023-2024/summary/Taiwo-Awoniyi-Match-Logs""Matches"
34,34,"<a href=""/en/players/da052c14/Jordan-Ayew""Jordan Ayew","<a href=""/en/country/GHA/Ghana-Football""<span style=""white-space: nowrap""<span class=""f-i f-gh"" style=""""gh","FW,MF","<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",32-173,1991,24,23,"1,995",22.2,4,6,10,4,0,0,8,1,3.3,3.3,3.9,7.3,64,57,151,0.18,0.27,0.45,0.18,0.45,0.15,0.18,0.33,0.15,0.33,"<a href=""/en/players/da052c14/matchlogs/2023-2024/summary/Jordan-Ayew-Match-Logs""Matches"
35,35,"<a href=""/en/players/06df8256/Benoit-Badiashile""Benoît Badiashile","<a href=""/en/country/FRA/France-Football""<span style=""white-space: nowrap""<span class=""f-i f-fr"" style=""""fr",DF,"<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",22-342,2001,8,6,560,6.2,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.7,1,25,1,0.00,0.16,0.16,0.00,0.16,0.02,0.09,0.11,0.02,0.11,"<a href=""/en/players/06df8256/matchlogs/2023-2024/summary/Benoit-Badiashile-Match-Logs""Matches"
36,36,"<a href=""/en/players/3a233281/Leon-Bailey""Leon Bailey","<a href=""/en/country/JAM/Jamaica-Football""<span style=""white-space: nowrap""<span class=""f-i f-jm"" style=""""jm","MF,FW","<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",26-206,1997,24,13,"1,256",14.0,8,7,15,8,0,0,3,0,4.4,4.4,6.0,10.4,71,44,154,0.57,0.50,1.07,0.57,1.07,0.32,0.43,0.75,0.32,0.75,"<a href=""/en/players/3a233281/matchlogs/2023-2024/summary/Leon-Bailey-Match-Logs""Matches"
37,37,"<a href=""/en/players/394854c4/George-Baldock""George Baldock","<a href=""/en/country/GRE/Greece-Football""<span style=""white-space: nowrap""<span class=""f-i f-gr"" style=""""gr",DF,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",30-359,1993,11,10,834,9.3,0,1,1,0,0,0,4,0,0.0,0.0,0.7,0.7,8,30,24,0.00,0.11,0.11,0.00,0.11,0.00,0.08,0.08,0.00,0.08,"<a href=""/en/players/394854c4/matchlogs/2023-2024/summary/George-Baldock-Match-Logs""Matches"
38,38,"<a href=""/en/players/a1390d2f/Carlos-Baleba""Carlos Baleba","<a href=""/en/country/CMR/Cameroon-Football""<span style=""white-space: nowrap""<span class=""f-i f-cm"" style=""""cm",MF,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",20-059,2004,15,7,597,6.6,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.5,4,27,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,"<a href=""/en/players/a1390d2f/matchlogs/2023-2024/summary/Carlos-Baleba-Match-Logs""Matches"
39,39,"<a href=""/en/players/f449640d/Fode-Ballo-Toure""Fodé Ballo-Touré","<a href=""/en/country/SEN/Senegal-Football""<span style=""white-space: nowrap""<span class=""f-i f-sn"" style=""""sn","DF,MF","<a href=""/en/squads/fd962109/Fulham-Stats""Fulham",27-059,1997,5,0,58,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/f449640d/matchlogs/2023-2024/summary/Fode-Ballo-Toure-Match-Logs""Matches"
40,40,"<a href=""/en/players/2886c9b5/Shandon-Baptiste""Shandon Baptiste","<a href=""/en/country/GRN/Grenada-Football""<span style=""white-space: nowrap""<span class=""f-i f-gd"" style=""""gd",MF,"<a href=""/en/squads/cd051869/Brentford-Stats""Brentford",25-329,1998,9,2,218,2.4,1,0,1,1,0,0,0,0,0.9,0.9,0.1,1.0,3,5,0,0.41,0.00,0.41,0.41,0.41,0.37,0.05,0.41,0.37,0.41,"<a href=""/en/players/2886c9b5/matchlogs/2023-2024/summary/Shandon-Baptiste-Match-Logs""Matches"
41,41,"<a href=""/en/players/3a24769f/Ross-Barkley""Ross Barkley","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",MF,"<a href=""/en/squads/e297cd13/Luton-Town-Stats""Luton Town",30-088,1993,20,18,"1,606",17.8,3,3,6,3,0,0,4,0,2.8,2.8,3.4,6.2,31,106,21,0.17,0.17,0.34,0.17,0.34,0.16,0.19,0.35,0.16,0.35,"<a href=""/en/players/3a24769f/matchlogs/2023-2024/summary/Ross-Barkley-Match-Logs""Matches"
42,42,"<a href=""/en/players/3ea50f67/Harvey-Barnes""Harvey Barnes","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",FW,"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",26-084,1997,10,3,339,3.8,2,1,3,2,0,0,1,0,1.1,1.1,0.9,2.0,24,13,34,0.53,0.27,0.80,0.53,0.80,0.30,0.23,0.53,0.30,0.53,"<a href=""/en/players/3ea50f67/matchlogs/2023-2024/summary/Harvey-Barnes-Match-Logs""Matches"
43,43,"<a href=""/en/players/1aa84968/Chris-Basham""Chris Basham","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng","DF,MF","<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",35-226,1988,8,3,321,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,7,6,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.10,0.04,0.10,"<a href=""/en/players/1aa84968/matchlogs/2023-2024/summary/Chris-Basham-Match-Logs""Matches"
44,44,"<a href=""/en/players/a36524bf/Calvin-Bassey""Calvin Bassey","<a href=""/en/country/NGA/Nigeria-Football""<span style=""white-space: nowrap""<span class=""f-i f-ng"" style=""""ng",DF,"<a href=""/en/squads/fd962109/Fulham-Stats""Fulham",24-062,1999,17,13,"1,223",13.6,1,0,1,1,0,0,4,1,0.2,0.2,0.0,0.2,7,33,4,0.07,0.00,0.07,0.07,0.07,0.02,0.00,0.02,0.02,0.02,"<a href=""/en/players/a36524bf/matchlogs/2023-2024/summary/Calvin-Bassey-Match-Logs""Matches"
45,45,"<a href=""/en/players/a011a1e9/Owen-Beck""Owen Beck","<a href=""/en/country/WAL/Wales-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-wls"" style=""""wls",DF,"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",21-206,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/a011a1e9/matchlogs/2023-2024/summary/Owen-Beck-Match-Logs""Matches"
46,46,"<a href=""/en/players/50dc94ce/Donny-van-de-Beek""Donny van de Beek","<a href=""/en/country/NED/Netherlands-Football""<span style=""white-space: nowrap""<span class=""f-i f-nl"" style=""""nl",DF,"<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",26-319,1997,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,1.09,4.44,5.54,1.09,5.54,"<a href=""/en/players/50dc94ce/matchlogs/2023-2024/summary/Donny-van-de-Beek-Match-Logs""Matches"
