,ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
228,221,"<a href=""/en/players/4fd08daa/Jan-Paul-van-Hecke""Jan Paul van Hecke","<a href=""/en/country/NED/Netherlands-Football""<span style=""white-space: nowrap""<span class=""f-i f-nl"" style=""""nl",DF,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",23-268,2000,21,19,"1,739",19.3,0,0,0,0,0,0,3,0,1.1,1.1,0.7,1.8,19,117,6,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.09,0.06,0.09,"<a href=""/en/players/4fd08daa/matchlogs/2023-2024/summary/Jan-Paul-van-Hecke-Match-Logs""Matches"
229,222,"<a href=""/en/players/169fd162/Hwang-Hee-chan""Hwang Hee-chan","<a href=""/en/country/KOR/Korea-Republic-Football""<span style=""white-space: nowrap""<span class=""f-i f-kr"" style=""""kr","FW,MF","<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats""Wolves",28-036,1996,22,19,"1,620",18.0,10,3,13,9,1,1,4,0,6.3,5.6,2.9,8.5,30,29,93,0.56,0.17,0.72,0.50,0.67,0.35,0.16,0.52,0.31,0.47,"<a href=""/en/players/169fd162/matchlogs/2023-2024/summary/Hwang-Hee-chan-Match-Logs""Matches"
230,223,"<a href=""/en/players/e5a76dfe/Dean-Henderson""Dean Henderson","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",GK,"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",26-356,1997,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/e5a76dfe/matchlogs/2023-2024/summary/Dean-Henderson-Match-Logs""Matches"
231,224,"<a href=""/en/players/8a3c1dc7/Rico-Henry""Rico Henry","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/cd051869/Brentford-Stats""Brentford",26-238,1997,5,5,401,4.5,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,13,20,12,0.00,0.22,0.22,0.00,0.22,0.02,0.22,0.24,0.02,0.24,"<a href=""/en/players/8a3c1dc7/matchlogs/2023-2024/summary/Rico-Henry-Match-Logs""Matches"
232,225,"<a href=""/en/players/92e7e919/Son-Heung-min""Son Heung-min","<a href=""/en/country/KOR/Korea-Republic-Football""<span style=""white-space: nowrap""<span class=""f-i f-kr"" style=""""kr",FW,"<a href=""/en/squads/361ca564/Tottenham-Hotspur-Stats""Tottenham",31-238,1992,22,21,"1,808",20.1,12,6,18,11,1,1,1,0,7.1,6.3,6.5,12.8,64,92,210,0.60,0.30,0.90,0.55,0.85,0.35,0.32,0.68,0.32,0.64,"<a href=""/en/players/92e7e919/matchlogs/2023-2024/summary/Son-Heung-min-Match-Logs""Matches"
233,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
234,226,"<a href=""/en/players/1780bb4a/Aaron-Hickey""Aaron Hickey","<a href=""/en/country/SCO/Scotland-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-sct"" style=""""sct",DF,"<a href=""/en/squads/cd051869/Brentford-Stats""Brentford",21-266,2002,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9,21,13,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,"<a href=""/en/players/1780bb4a/matchlogs/2023-2024/summary/Aaron-Hickey-Match-Logs""Matches"
235,227,"<a href=""/en/players/69942fb3/James-Hill""James Hill","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats""Bournemouth",22-052,2002,2,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"<a href=""/en/players/69942fb3/matchlogs/2023-2024/summary/James-Hill-Match-Logs""Matches"
236,228,"<a href=""/en/players/e98211e7/Jack-Hinshelwood""Jack Hinshelwood","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",18-326,2005,12,8,869,9.7,3,0,3,3,0,0,1,0,1.9,1.9,0.7,2.5,16,19,38,0.31,0.00,0.31,0.31,0.31,0.19,0.07,0.26,0.19,0.26,"<a href=""/en/players/e98211e7/matchlogs/2023-2024/summary/Jack-Hinshelwood-Match-Logs""Matches"
237,229,"<a href=""/en/players/d0042ab9/Mason-Holgate""Mason Holgate","<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",DF,"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",27-132,1996,3,3,192,2.1,0,0,0,0,0,0,1,1,0.4,0.4,0.0,0.4,0,4,0,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,"<a href=""/en/players/d0042ab9/matchlogs/2023-2024/summary/Mason-Holgate-Match-Logs""Matches"
