,0
0.37,goals_assists_per90
0.37,goals_pens_per90
0.37,goals_assists_pens_per90
0.24,xg_per90
0.10,xg_assist_per90
0.35,xg_xg_assist_per90
0.24,npxg_per90
0.35,npxg_xg_assist_per90
"<a href=""/en/players/4e204552/matchlogs/2023-2024/summary/Jacob-Bruun-Larsen-Match-Logs""Matches",matches
77,ranker
"<a href=""/en/players/bfc3b3a0/Hugo-Bueno""Hugo Bueno",player
"<a href=""/en/country/ESP/Spain-Football""<span style=""white-space: nowrap""<span class=""f-i f-es"" style=""""es",nationality
"DF,MF",position
"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats""Wolves",team
21-165,age
2002,birth_year
13,games
4,games_starts
400,minutes
4.4,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
0.2,xg
0.2,npxg
0.5,xg_assist
0.8,npxg_xg_assist
11,progressive_carries
5,progressive_passes
29,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.06,xg_per90
0.11,xg_assist_per90
0.17,xg_xg_assist_per90
0.06,npxg_per90
0.17,npxg_xg_assist_per90
"<a href=""/en/players/bfc3b3a0/matchlogs/2023-2024/summary/Hugo-Bueno-Match-Logs""Matches",matches
78,ranker
"<a href=""/en/players/edc98fac/Santiago-Bueno""Santiago Bueno",player
"<a href=""/en/country/URU/Uruguay-Football""<span style=""white-space: nowrap""<span class=""f-i f-uy"" style=""""uy",nationality
DF,position
"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats""Wolves",team
25-113,age
1998,birth_year
3,games
2,games_starts
201,minutes
2.2,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
0,progressive_carries
0,progressive_passes
0,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/edc98fac/matchlogs/2023-2024/summary/Santiago-Bueno-Match-Logs""Matches",matches
79,ranker
"<a href=""/en/players/468a7a91/Facundo-Buonanotte""Facundo Buonanotte",player
"<a href=""/en/country/ARG/Argentina-Football""<span style=""white-space: nowrap""<span class=""f-i f-ar"" style=""""ar",nationality
"MF,FW",position
"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",team
19-069,age
2004,birth_year
18,games
12,games_starts
911,minutes
10.1,minutes_90s
3,goals
1,assists
4,goals_assists
3,goals_pens
0,pens_made
0,pens_att
6,cards_yellow
0,cards_red
1.8,xg
1.8,npxg
1.7,xg_assist
3.4,npxg_xg_assist
13,progressive_carries
23,progressive_passes
45,progressive_passes_received
0.30,goals_per90
0.10,assists_per90
0.40,goals_assists_per90
0.30,goals_pens_per90
0.40,goals_assists_pens_per90
0.17,xg_per90
0.17,xg_assist_per90
0.34,xg_xg_assist_per90
0.17,npxg_per90
0.34,npxg_xg_assist_per90
"<a href=""/en/players/468a7a91/matchlogs/2023-2024/summary/Facundo-Buonanotte-Match-Logs""Matches",matches
80,ranker
"<a href=""/en/players/a681b7b7/Reece-Burke""Reece Burke",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
DF,position
"<a href=""/en/squads/e297cd13/Luton-Town-Stats""Luton Town",team
27-181,age
1996,birth_year
11,games
9,games_starts
764,minutes
8.5,minutes_90s
0,goals
1,assists
1,goals_assists
0,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
0.5,xg
0.5,npxg
0.4,xg_assist
0.9,npxg_xg_assist
3,progressive_carries
27,progressive_passes
9,progressive_passes_received
0.00,goals_per90
0.12,assists_per90
0.12,goals_assists_per90
0.00,goals_pens_per90
0.12,goals_assists_pens_per90
0.06,xg_per90
0.05,xg_assist_per90
0.10,xg_xg_assist_per90
0.06,npxg_per90
0.10,npxg_xg_assist_per90
"<a href=""/en/players/a681b7b7/matchlogs/2023-2024/summary/Reece-Burke-Match-Logs""Matches",matches
81,ranker
"<a href=""/en/players/b2d31e83/Dan-Burn""Dan Burn",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
DF,position
"<a href=""/en/squads/b2b47a98/Newcastle-United-Stats""Newcastle Utd",team
31-297,age
1992,birth_year
21,games
20,games_starts
"1,668",minutes
18.5,minutes_90s
2,goals
2,assists
4,goals_assists
2,goals_pens
0,pens_made
0,pens_att
3,cards_yellow
0,cards_red
1.9,xg
1.9,npxg
0.8,xg_assist
2.7,npxg_xg_assist
10,progressive_carries
56,progressive_passes
22,progressive_passes_received
0.11,goals_per90
0.11,assists_per90
0.22,goals_assists_per90
0.11,goals_pens_per90
0.22,goals_assists_pens_per90
0.10,xg_per90
0.04,xg_assist_per90
0.14,xg_xg_assist_per90
0.10,npxg_per90
0.14,npxg_xg_assist_per90
"<a href=""/en/players/b2d31e83/matchlogs/2023-2024/summary/Dan-Burn-Match-Logs""Matches",matches
82,ranker
"<a href=""/en/players/dab84ad2/Mason-Burstow""Mason Burstow",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
FW,position
"<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",team
20-210,age
2003,birth_year
2,games
0,games_starts
9,minutes
0.1,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
0,progressive_carries
0,progressive_passes
1,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/dab84ad2/matchlogs/2023-2024/summary/Mason-Burstow-Match-Logs""Matches",matches
83,ranker
"<a href=""/en/players/16264a81/Moises-Caicedo""Moisés Caicedo",player
"<a href=""/en/country/ECU/Ecuador-Football""<span style=""white-space: nowrap""<span class=""f-i f-ec"" style=""""ec",nationality
MF,position
"<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",team
22-120,age
2001,birth_year
22,games
20,games_starts
"1,761",minutes
19.6,minutes_90s
0,goals
1,assists
1,goals_assists
0,goals_pens
0,pens_made
0,pens_att
7,cards_yellow
0,cards_red
0.2,xg
0.2,npxg
1.5,xg_assist
1.7,npxg_xg_assist
9,progressive_carries
98,progressive_passes
16,progressive_passes_received
0.00,goals_per90
0.05,assists_per90
0.05,goals_assists_per90
0.00,goals_pens_per90
0.05,goals_assists_pens_per90
0.01,xg_per90
0.07,xg_assist_per90
0.09,xg_xg_assist_per90
0.01,npxg_per90
0.09,npxg_xg_assist_per90
"<a href=""/en/players/16264a81/matchlogs/2023-2024/summary/Moises-Caicedo-Match-Logs""Matches",matches
84,ranker
"<a href=""/en/players/a8748947/Tom-Cairney""Tom Cairney",player
"<a href=""/en/country/SCO/Scotland-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-sct"" style=""""sct",nationality
MF,position
"<a href=""/en/squads/fd962109/Fulham-Stats""Fulham",team
33-041,age
1991,birth_year
24,games
13,games_starts
"1,194",minutes
13.3,minutes_90s
1,goals
3,assists
4,goals_assists
1,goals_pens
0,pens_made
0,pens_att
2,cards_yellow
0,cards_red
0.8,xg
0.8,npxg
1.9,xg_assist
2.7,npxg_xg_assist
29,progressive_carries
110,progressive_passes
52,progressive_passes_received
0.08,goals_per90
0.23,assists_per90
0.30,goals_assists_per90
0.08,goals_pens_per90
0.30,goals_assists_pens_per90
0.06,xg_per90
0.15,xg_assist_per90
0.20,xg_xg_assist_per90
0.06,npxg_per90
0.20,npxg_xg_assist_per90
"<a href=""/en/players/a8748947/matchlogs/2023-2024/summary/Tom-Cairney-Match-Logs""Matches",matches
85,ranker
"<a href=""/en/players/59e6e5bf/Dominic-Calvert-Lewin""Dominic Calvert-Lewin",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
FW,position
"<a href=""/en/squads/d3fd31cc/Everton-Stats""Everton",team
26-351,age
1997,birth_year
22,games
19,games_starts
"1,536",minutes
17.1,minutes_90s
3,goals
1,assists
4,goals_assists
3,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
9.0,xg
9.0,npxg
1.6,xg_assist
10.6,npxg_xg_assist
22,progressive_carries
21,progressive_passes
78,progressive_passes_received
0.18,goals_per90
0.06,assists_per90
0.23,goals_assists_per90
0.18,goals_pens_per90
0.23,goals_assists_pens_per90
0.53,xg_per90
0.09,xg_assist_per90
0.62,xg_xg_assist_per90
0.53,npxg_per90
0.62,npxg_xg_assist_per90
"<a href=""/en/players/59e6e5bf/matchlogs/2023-2024/summary/Dominic-Calvert-Lewin-Match-Logs""Matches",matches
86,ranker
"<a href=""/en/players/4506aec5/Thomas-Cannon""Thomas Cannon",player
"<a href=""/en/country/IRL/Republic-of-Ireland-Football""<span style=""white-space: nowrap""<span class=""f-i f-ie"" style=""""ie",nationality
FW,position
"<a href=""/en/squads/d3fd31cc/Everton-Stats""Everton",team
21-064,age
2002,birth_year
1,games
0,games_starts
1,minutes
0.0,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
0,progressive_carries
0,progressive_passes
0,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/4506aec5/matchlogs/2023-2024/summary/Thomas-Cannon-Match-Logs""Matches",matches
87,ranker
"<a href=""/en/players/b4a014b1/Diego-Carlos""Diego Carlos",player
"<a href=""/en/country/BRA/Brazil-Football""<span style=""white-space: nowrap""<span class=""f-i f-br"" style=""""br",nationality
DF,position
"<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",team
30-352,age
1993,birth_year
17,games
13,games_starts
"1,160",minutes
12.9,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
3,cards_yellow
0,cards_red
0.6,xg
0.6,npxg
0.0,xg_assist
0.6,npxg_xg_assist
4,progressive_carries
47,progressive_passes
0,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.05,xg_per90
0.00,xg_assist_per90
0.05,xg_xg_assist_per90
0.05,npxg_per90
0.05,npxg_xg_assist_per90
"<a href=""/en/players/b4a014b1/matchlogs/2023-2024/summary/Diego-Carlos-Match-Logs""Matches",matches
88,ranker
"<a href=""/en/players/fb920f3a/Cesare-Casadei""Cesare Casadei",player
"<a href=""/en/country/ITA/Italy-Football""<span style=""white-space: nowrap""<span class=""f-i f-it"" style=""""it",nationality
MF,position
"<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",team
21-051,age
2003,birth_year
2,games
0,games_starts
15,minutes
0.2,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.1,xg_assist
0.1,npxg_xg_assist
0,progressive_carries
0,progressive_passes
0,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.43,xg_assist_per90
0.43,xg_xg_assist_per90
0.00,npxg_per90
0.43,npxg_xg_assist_per90
"<a href=""/en/players/fb920f3a/matchlogs/2023-2024/summary/Cesare-Casadei-Match-Logs""Matches",matches
89,ranker
"<a href=""/en/players/4d224fe8/Casemiro""Casemiro",player
"<a href=""/en/country/BRA/Brazil-Football""<span style=""white-space: nowrap""<span class=""f-i f-br"" style=""""br",nationality
MF,position
"<a href=""/en/squads/19538871/Manchester-United-Stats""Manchester Utd",team
32-007,age
1992,birth_year
13,games
13,games_starts
997,minutes
11.1,minutes_90s
1,goals
1,assists
2,goals_assists
1,goals_pens
0,pens_made
0,pens_att
4,cards_yellow
0,cards_red
2.3,xg
2.3,npxg
0.5,xg_assist
2.8,npxg_xg_assist
8,progressive_carries
69,progressive_passes
28,progressive_passes_received
0.09,goals_per90
0.09,assists_per90
0.18,goals_assists_per90
0.09,goals_pens_per90
0.18,goals_assists_pens_per90
0.20,xg_per90
0.05,xg_assist_per90
0.25,xg_xg_assist_per90
0.20,npxg_per90
0.25,npxg_xg_assist_per90
"<a href=""/en/players/4d224fe8/matchlogs/2023-2024/summary/Casemiro-Match-Logs""Matches",matches
90,ranker
"<a href=""/en/players/2389cdc2/Matty-Cash""Matty Cash",player
"<a href=""/en/country/POL/Poland-Football""<span style=""white-space: nowrap""<span class=""f-i f-pl"" style=""""pl",nationality
DF,position
"<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",team
26-207,age
1997,birth_year
23,games
19,games_starts
"1,673",minutes
18.6,minutes_90s
2,goals
1,assists
3,goals_assists
2,goals_pens
0,pens_made
0,pens_att
6,cards_yellow
0,cards_red
3.9,xg
3.9,npxg
2.1,xg_assist
5.9,npxg_xg_assist
54,progressive_carries
70,progressive_passes
78,progressive_passes_received
0.11,goals_per90
0.05,assists_per90
0.16,goals_assists_per90
0.11,goals_pens_per90
0.16,goals_assists_pens_per90
0.21,xg_per90
0.11,xg_assist_per90
0.32,xg_xg_assist_per90
0.21,npxg_per90
0.32,npxg_xg_assist_per90
"<a href=""/en/players/2389cdc2/matchlogs/2023-2024/summary/Matty-Cash-Match-Logs""Matches",matches
91,ranker
"<a href=""/en/players/197640fd/Timothy-Castagne""Timothy Castagne",player
"<a href=""/en/country/BEL/Belgium-Football""<span style=""white-space: nowrap""<span class=""f-i f-be"" style=""""be",nationality
DF,position
"<a href=""/en/squads/fd962109/Fulham-Stats""Fulham",team
28-087,age
1995,birth_year
23,games
19,games_starts
"1,759",minutes
19.5,minutes_90s
0,goals
1,assists
1,goals_assists
0,goals_pens
0,pens_made
0,pens_att
2,cards_yellow
0,cards_red
1.3,xg
1.3,npxg
0.8,xg_assist
2.1,npxg_xg_assist
37,progressive_carries
59,progressive_passes
88,progressive_passes_received
0.00,goals_per90
0.05,assists_per90
0.05,goals_assists_per90
0.00,goals_pens_per90
0.05,goals_assists_pens_per90
0.07,xg_per90
0.04,xg_assist_per90
0.11,xg_xg_assist_per90
0.07,npxg_per90
0.11,npxg_xg_assist_per90
"<a href=""/en/players/197640fd/matchlogs/2023-2024/summary/Timothy-Castagne-Match-Logs""Matches",matches
92,ranker
"<a href=""/en/players/e28868f3/Jonny-Castro""Jonny Castro",player
"<a href=""/en/country/ESP/Spain-Football""<span style=""white-space: nowrap""<span class=""f-i f-es"" style=""""es",nationality
MF,position
"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats""Wolves",team
29-364,age
1994,birth_year
1,games
0,games_starts
5,minutes
0.1,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
0,progressive_carries
0,progressive_passes
0,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/e28868f3/matchlogs/2023-2024/summary/Jonny-Castro-Match-Logs""Matches",matches
93,ranker
"<a href=""/en/players/9cfbad36/Julio-Cesar-Enciso""Julio César Enciso",player
"<a href=""/en/country/PAR/Paraguay-Football""<span style=""white-space: nowrap""<span class=""f-i f-py"" style=""""py",nationality
"MF,FW",position
"<a href=""/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats""Brighton",team
20-038,age
2004,birth_year
3,games
1,games_starts
87,minutes
1.0,minutes_90s
0,goals
2,assists
2,goals_assists
0,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
0.3,xg
0.3,npxg
0.8,xg_assist
1.1,npxg_xg_assist
7,progressive_carries
0,progressive_passes
9,progressive_passes_received
0.00,goals_per90
2.07,assists_per90
2.07,goals_assists_per90
0.00,goals_pens_per90
2.07,goals_assists_pens_per90
0.31,xg_per90
0.79,xg_assist_per90
1.10,xg_xg_assist_per90
0.31,npxg_per90
1.10,npxg_xg_assist_per90
"<a href=""/en/players/9cfbad36/matchlogs/2023-2024/summary/Julio-Cesar-Enciso-Match-Logs""Matches",matches
94,ranker
"<a href=""/en/players/5515376c/Trevoh-Chalobah""Trevoh Chalobah",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
DF,position
"<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",team
24-240,age
1999,birth_year
1,games
0,games_starts
20,minutes
0.2,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
0,progressive_carries
0,progressive_passes
0,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/5515376c/matchlogs/2023-2024/summary/Trevoh-Chalobah-Match-Logs""Matches",matches
95,ranker
"<a href=""/en/players/dc6f5bdd/Calum-Chambers""Calum Chambers",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
DF,position
"<a href=""/en/squads/8602292d/Aston-Villa-Stats""Aston Villa",team
29-041,age
1995,birth_year
1,games
0,games_starts
45,minutes
0.5,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
0,progressive_carries
2,progressive_passes
0,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/dc6f5bdd/matchlogs/2023-2024/summary/Calum-Chambers-Match-Logs""Matches",matches
96,ranker
"<a href=""/en/players/890f108d/Youssef-Chermiti""Youssef Chermiti",player
"<a href=""/en/country/POR/Portugal-Football""<span style=""white-space: nowrap""<span class=""f-i f-pt"" style=""""pt",nationality
FW,position
"<a href=""/en/squads/d3fd31cc/Everton-Stats""Everton",team
19-282,age
2004,birth_year
9,games
0,games_starts
65,minutes
0.7,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
0.5,xg
0.5,npxg
0.4,xg_assist
0.9,npxg_xg_assist
0,progressive_carries
2,progressive_passes
7,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.71,xg_per90
0.57,xg_assist_per90
1.27,xg_xg_assist_per90
0.71,npxg_per90
1.27,npxg_xg_assist_per90
"<a href=""/en/players/890f108d/matchlogs/2023-2024/summary/Youssef-Chermiti-Match-Logs""Matches",matches
97,ranker
"<a href=""/en/players/d2424d1b/Ben-Chilwell""Ben Chilwell",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
DF,position
"<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",team
27-071,age
1996,birth_year
11,games
8,games_starts
655,minutes
7.3,minutes_90s
0,goals
1,assists
1,goals_assists
0,goals_pens
0,pens_made
0,pens_att
5,cards_yellow
0,cards_red
1.1,xg
1.1,npxg
2.2,xg_assist
3.3,npxg_xg_assist
20,progressive_carries
23,progressive_passes
54,progressive_passes_received
0.00,goals_per90
0.14,assists_per90
0.14,goals_assists_per90
0.00,goals_pens_per90
0.14,goals_assists_pens_per90
0.15,xg_per90
0.30,xg_assist_per90
0.45,xg_xg_assist_per90
0.15,npxg_per90
0.45,npxg_xg_assist_per90
"<a href=""/en/players/d2424d1b/matchlogs/2023-2024/summary/Ben-Chilwell-Match-Logs""Matches",matches
98,ranker
"<a href=""/en/players/34721c11/Tawanda-Chirewa""Tawanda Chirewa",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
FW,position
"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats""Wolves",team
20-142,age
2003,birth_year
1,games
0,games_starts
3,minutes
0.0,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
0,progressive_carries
1,progressive_passes
0,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/34721c11/matchlogs/2023-2024/summary/Tawanda-Chirewa-Match-Logs""Matches",matches
99,ranker
"<a href=""/en/players/2696b6a9/Tahith-Chong""Tahith Chong",player
"<a href=""/en/country/NED/Netherlands-Football""<span style=""white-space: nowrap""<span class=""f-i f-nl"" style=""""nl",nationality
MF,position
"<a href=""/en/squads/e297cd13/Luton-Town-Stats""Luton Town",team
24-088,age
1999,birth_year
20,games
8,games_starts
945,minutes
10.5,minutes_90s
1,goals
0,assists
1,goals_assists
1,goals_pens
0,pens_made
0,pens_att
3,cards_yellow
0,cards_red
1.2,xg
1.2,npxg
0.4,xg_assist
1.6,npxg_xg_assist
30,progressive_carries
44,progressive_passes
53,progressive_passes_received
0.10,goals_per90
0.00,assists_per90
0.10,goals_assists_per90
0.10,goals_pens_per90
0.10,goals_assists_pens_per90
0.11,xg_per90
0.04,xg_assist_per90
0.15,xg_xg_assist_per90
0.11,npxg_per90
0.15,npxg_xg_assist_per90
"<a href=""/en/players/2696b6a9/matchlogs/2023-2024/summary/Tahith-Chong-Match-Logs""Matches",matches
100,ranker
"<a href=""/en/players/26ce2263/Ryan-Christie""Ryan Christie",player
"<a href=""/en/country/SCO/Scotland-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-sct"" style=""""sct",nationality
MF,position
"<a href=""/en/squads/4ba7cbea/Bournemouth-Stats""Bournemouth",team
29-008,age
1995,birth_year
25,games
24,games_starts
"1,982",minutes
22.0,minutes_90s
0,goals
2,assists
2,goals_assists
0,goals_pens
0,pens_made
0,pens_att
4,cards_yellow
0,cards_red
1.2,xg
1.2,npxg
3.7,xg_assist
4.9,npxg_xg_assist
41,progressive_carries
100,progressive_passes
65,progressive_passes_received
0.00,goals_per90
0.09,assists_per90
0.09,goals_assists_per90
0.00,goals_pens_per90
0.09,goals_assists_pens_per90
0.06,xg_per90
0.17,xg_assist_per90
0.22,xg_xg_assist_per90
0.06,npxg_per90
0.22,npxg_xg_assist_per90
"<a href=""/en/players/26ce2263/matchlogs/2023-2024/summary/Ryan-Christie-Match-Logs""Matches",matches
Rk,ranker
Player,player
Nation,nationality
Pos,position
Squad,team
Age,age
Born,birth_year
MP,games
Starts,games_starts
Min,minutes
90s,minutes_90s
Gls,goals
Ast,assists
G+A,goals_assists
G-PK,goals_pens
PK,pens_made
PKatt,pens_att
CrdY,cards_yellow
CrdR,cards_red
xG,xg
npxG,npxg
xAG,xg_assist
npxG+xAG,npxg_xg_assist
PrgC,progressive_carries
PrgP,progressive_passes
PrgR,progressive_passes_received
Gls,goals_per90
Ast,assists_per90
G+A,goals_assists_per90
G-PK,goals_pens_per90
G+A-PK,goals_assists_pens_per90
xG,xg_per90
xAG,xg_assist_per90
xG+xAG,xg_xg_assist_per90
npxG,npxg_per90
npxG+xAG,npxg_xg_assist_per90
Matches,matches
101,ranker
"<a href=""/en/players/b2f9c73e/Carney-Chukwuemeka""Carney Chukwuemeka",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
MF,position
"<a href=""/en/squads/cff3d9bb/Chelsea-Stats""Chelsea",team
20-133,age
2003,birth_year
5,games
2,games_starts
170,minutes
1.9,minutes_90s
1,goals
1,assists
2,goals_assists
1,goals_pens
0,pens_made
0,pens_att
2,cards_yellow
0,cards_red
0.1,xg
0.1,npxg
0.3,xg_assist
0.4,npxg_xg_assist
4,progressive_carries
8,progressive_passes
15,progressive_passes_received
0.53,goals_per90
0.53,assists_per90
1.06,goals_assists_per90
0.53,goals_pens_per90
1.06,goals_assists_pens_per90
0.07,xg_per90
0.14,xg_assist_per90
0.21,xg_xg_assist_per90
0.07,npxg_per90
0.21,npxg_xg_assist_per90
"<a href=""/en/players/b2f9c73e/matchlogs/2023-2024/summary/Carney-Chukwuemeka-Match-Logs""Matches",matches
102,ranker
"<a href=""/en/players/73341ace/Bobby-Clark""Bobby Clark",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
MF,position
"<a href=""/en/squads/822bd0ba/Liverpool-Stats""Liverpool",team
19-023,age
2005,birth_year
4,games
0,games_starts
30,minutes
0.3,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
1,progressive_carries
1,progressive_passes
2,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/73341ace/matchlogs/2023-2024/summary/Bobby-Clark-Match-Logs""Matches",matches
103,ranker
"<a href=""/en/players/7c5fa6cf/Jordan-Clark""Jordan Clark",player
"<a href=""/en/country/ENG/England-Football""<span style=""white-space: nowrap""<span class=""f-i f-gb-eng"" style=""""eng",nationality
MF,position
"<a href=""/en/squads/e297cd13/Luton-Town-Stats""Luton Town",team
30-161,age
1993,birth_year
11,games
4,games_starts
393,minutes
4.4,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
2,cards_yellow
0,cards_red
0.2,xg
0.2,npxg
0.1,xg_assist
0.3,npxg_xg_assist
10,progressive_carries
14,progressive_passes
14,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
