,0
"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",team
20-247,age
2003,birth_year
1,games
0,games_starts
5,minutes
0.1,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
0,cards_yellow
0,cards_red
0.0,xg
0.0,npxg
0.0,xg_assist
0.0,npxg_xg_assist
0,progressive_carries
0,progressive_passes
1,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.00,xg_per90
0.00,xg_assist_per90
0.00,xg_xg_assist_per90
0.00,npxg_per90
0.00,npxg_xg_assist_per90
"<a href=""/en/players/938fa024/matchlogs/2023-2024/summary/Brandon-Aguilera-Match-Logs""Matches",matches
8,ranker
"<a href=""/en/players/a6c58494/Naouirou-Ahamada""Naouirou Ahamada",player
"<a href=""/en/country/FRA/France-Football""<span style=""white-space: nowrap""<span class=""f-i f-fr"" style=""""fr",nationality
"MF,FW",position
"<a href=""/en/squads/47c64c55/Crystal-Palace-Stats""Crystal Palace",team
21-338,age
2002,birth_year
15,games
0,games_starts
214,minutes
2.4,minutes_90s
0,goals
0,assists
0,goals_assists
0,goals_pens
0,pens_made
0,pens_att
1,cards_yellow
0,cards_red
0.2,xg
0.2,npxg
0.0,xg_assist
0.3,npxg_xg_assist
14,progressive_carries
11,progressive_passes
15,progressive_passes_received
0.00,goals_per90
0.00,assists_per90
0.00,goals_assists_per90
0.00,goals_pens_per90
0.00,goals_assists_pens_per90
0.10,xg_per90
0.01,xg_assist_per90
0.11,xg_xg_assist_per90
0.10,npxg_per90
0.11,npxg_xg_assist_per90
"<a href=""/en/players/a6c58494/matchlogs/2023-2024/summary/Naouirou-Ahamada-Match-Logs""Matches",matches
9,ranker
"<a href=""/en/players/eab957a3/Anel-Ahmedhodzic""Anel Ahmedhodžić",player
"<a href=""/en/country/BIH/Bosnia-and-Herzegovina-Football""<span style=""white-space: nowrap""<span class=""f-i f-ba"" style=""""ba",nationality
DF,position
"<a href=""/en/squads/1df6b87e/Sheffield-United-Stats""Sheffield Utd",team
24-341,age
1999,birth_year
20,games
19,games_starts
"1,755",minutes
19.5,minutes_90s
1,goals
0,assists
1,goals_assists
1,goals_pens
0,pens_made
0,pens_att
8,cards_yellow
0,cards_red
2.5,xg
2.5,npxg
0.0,xg_assist
2.6,npxg_xg_assist
8,progressive_carries
27,progressive_passes
17,progressive_passes_received
0.05,goals_per90
0.00,assists_per90
0.05,goals_assists_per90
0.05,goals_pens_per90
0.05,goals_assists_pens_per90
0.13,xg_per90
0.00,xg_assist_per90
0.13,xg_xg_assist_per90
0.13,npxg_per90
0.13,npxg_xg_assist_per90
"<a href=""/en/players/eab957a3/matchlogs/2023-2024/summary/Anel-Ahmedhodzic-Match-Logs""Matches",matches
10,ranker
"<a href=""/en/players/246d153b/Ola-Aina""Ola Aina",player
"<a href=""/en/country/NGA/Nigeria-Football""<span style=""white-space: nowrap""<span class=""f-i f-ng"" style=""""ng",nationality
DF,position
"<a href=""/en/squads/e4a775cb/Nottingham-Forest-Stats""Nott'ham Forest",team
27-145,age
1996,birth_year
14,games
12,games_starts
989,minutes
11.0,minutes_90s
1,goals
1,assists
2,goals_assists
1,goals_pens
0,pens_made
0,pens_att
3,cards_yellow
0,cards_red
0.2,xg
0.2,npxg
0.5,xg_assist
0.7,npxg_xg_assist
29,progressive_carries
30,progressive_passes
22,progressive_passes_received
0.09,goals_per90
0.09,assists_per90
0.18,goals_assists_per90
